Date,Description,Sub Category,Category,Amount,Transaction Type,Account 
2018-02-26,TRADER JOE'S #655  QPS,Groceries,Food and dining,92.7,debit,Southwest CC
2018-02-26,iTunes,iTunes,Entertainment,10,debit,Chase CC
2018-02-26,Magerks Pub,Restaurants,Food and dining,20.9,debit,Chase CC
2018-02-27,Amazon Services-Kindle,Kindle,Entertainment,13,debit,Southwest CC
2018-02-27,TARGET        00028456,Return,Credit,-15.9,Credit,Southwest CC
2018-02-27,USPS,Shipping and Handling Expenses,Miscellaneous,3.5,debit,Chase CC
2018-02-27,TARGET        00028456,Target,Household,73,debit,Southwest CC
2018-02-28,TARGET        00028456,Return,Credit,-30.7,Credit,Southwest CC
2018-02-28,TARGET        00028456,Target,Household,8.7,debit,Southwest CC
2018-03-01,Pine Ridge Driving,Golf,Entertainment,10,debit,Chase CC
2018-03-01,Chipotle,Restaurants,Food and dining,7.6,debit,Chase CC
2018-03-02,SAFEWAY #1481,Groceries,Food and dining,29.3,debit,Southwest CC
2018-03-02,SINAI HOSPITAL OF BALTIMO,Medical ,Health care,3,debit,Southwest CC
2018-03-02,Thank You Web,Payment,Credit,-822.6,credit,Chase CC
2018-03-02,Social Leagues,Sports,Entertainment,59,debit,Chase CC
2018-03-03,HARRISTEETER #392,Groceries,Food and dining,95.7,debit,Southwest CC
2018-03-03,CHEESECAKE TOWSON,Restaurants,Food and dining,45.8,debit,Southwest CC
2018-03-04,Sinai Hospital,Medical ,Health care,3,debit,Chase CC
2018-03-04,Point In Towson,NA,Miscellaneous,9.9,debit,Chase CC
2018-03-04,THB OF CANTON,NA,Miscellaneous,13.8,debit,Southwest CC
2018-03-04,Payment Thank You - Web,Payment,Credit,-971.8,credit,Southwest CC
2018-03-04,TARGET        00028456,Target,Household,33.7,debit,Southwest CC
2018-03-05,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-03-05,Frontpoint Security,Home Security,Housing,47.7,debit,Ally Checking
2018-03-05,Cunningham's,Restaurants,Food and dining,3.7,debit,Chase CC
2018-03-05,CHARM CITY VET HOSPITAL,Vet services,Health care,167.3,debit,Southwest CC
2018-03-06,Five Guys,Restaurants,Food and dining,13,debit,Chase CC
2018-03-07,Canton Cmf,NA,Miscellaneous,25.9,debit,Chase CC
2018-03-07,Eatalian Bistro,Restaurants,Food and dining,8.9,debit,Chase CC
2018-03-08,Www Wellputt.com,Golf,Entertainment,156.2,debit,Chase CC
2018-03-09,Daily Grind Inc,Coffee shops & Bakeries,Food and dining,3.8,debit,Chase CC
2018-03-09,WEGMANS OWINGS MILLS #125,Groceries,Food and dining,86.3,debit,Southwest CC
2018-03-09,CHARM CITY VET HOSPITAL,Vet services,Health care,55,debit,Southwest CC
2018-03-11,Pabc Multi Space,Parking,Transportation,2,debit,Chase CC
2018-03-11,Pabc Multi Space,Parking,Transportation,1.5,debit,Chase CC
2018-03-11,PAPA JOHN'S #00713,Restaurants,Food and dining,20.2,debit,Southwest CC
2018-03-11,Teriyaki Madness,Restaurants,Food and dining,11.1,debit,Chase CC
2018-03-12,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-03-12,ROYAL FARMS  063  Q79,Convenience Store,Food and dining,24.3,debit,Southwest CC
2018-03-12,HARRISTEETER #392,Groceries,Food and dining,40.9,debit,Southwest CC
2018-03-12,TRADER JOE'S #655  QPS,Groceries,Food and dining,21.8,debit,Southwest CC
2018-03-12,Diamondback Brewing Company LLC,Restaurants,Food and dining,28,debit,Chase CC
2018-03-12,Little Havana,Restaurants,Food and dining,32.7,debit,Chase CC
2018-03-12,TARGET        00028456,Return,Credit,-10.1,Credit,Southwest CC
2018-03-13,Great,NA,Miscellaneous,3.5,debit,Chase CC
2018-03-13,Royal Farms,Restaurants,Food and dining,3.4,debit,Chase CC
2018-03-13,TARGET        00028456,Target,Household,72.5,debit,Southwest CC
2018-03-14,Daily Grind Inc,Coffee shops & Bakeries,Food and dining,5.3,debit,Chase CC
2018-03-15,SWA INFLIGHT WIFI,Inflight WiFi,Utilities,8,debit,Southwest CC
2018-03-15,Chick-Fil-A,Restaurants,Food and dining,14.2,debit,Chase CC
2018-03-17,Amazon Services-Kindle,Kindle,Entertainment,13,debit,Southwest CC
2018-03-17,MANCHURIAN RICE CO,Restaurants,Food and dining,27.4,debit,Southwest CC
2018-03-18,Redemption,Refund,Credit,-156.2,credit,Chase CC
2018-03-19,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-03-19,SAFEWAY #1481,Groceries,Food and dining,65.7,debit,Southwest CC
2018-03-20,Amazon,Amazon,Household,6.3,debit,Chase CC
2018-03-20,Balto City,Government fee,Housing,75.6,debit,Ally Checking
2018-03-21,THB OF CANTON,NA,Miscellaneous,7.5,debit,Southwest CC
2018-03-21,Pmi Gar 1530 Thames Street,Parking,Transportation,15,debit,Chase CC
2018-03-21,Lucias,Restaurants,Food and dining,9.4,debit,Chase CC
2018-03-22,7-Eleven,Convenience Store,Food and dining,1.6,debit,Chase CC
2018-03-22,CHARM CITY VET HOSPITAL,Vet services,Health care,78.5,debit,Southwest CC
2018-03-23,Amazon.com,Amazon,Household,37.8,debit,Southwest CC
2018-03-23,McDonald's,Restaurants,Food and dining,9.5,debit,Chase CC
2018-03-23,Vikki Fells Point,Restaurants,Food and dining,6.4,debit,Chase CC
2018-03-24,TARGET        00012658,Target,Household,20.1,debit,Southwest CC
2018-03-25,SHELL OIL 57525762704,Gas,Utilities,36.2,debit,Southwest CC
2018-03-25,HARRISTEETER #392,Groceries,Food and dining,64.8,debit,Southwest CC
2018-03-25,Pabc Multi Space,Parking,Transportation,8,debit,Chase CC
2018-03-25,Chipotle,Restaurants,Food and dining,9.1,debit,Chase CC
2018-03-25,Dudas Tavern,Restaurants,Food and dining,30,debit,Chase CC
2018-03-25,Lucias,Restaurants,Food and dining,8.9,debit,Chase CC
2018-03-25,TARGET        00028456,Target,Household,32.9,debit,Southwest CC
2018-03-25,VITAMINSHOPPE655,Vitamin,Health care,20,debit,Southwest CC
2018-03-26,Apex Clearing Ach,Apex Clearing (Ally),Banking and Finance,150,debit,Ally Checking
2018-03-26,Pine Ridge Driving,Golf,Entertainment,5,debit,Chase CC
2018-03-26,iTunes,iTunes,Entertainment,10,debit,Chase CC
2018-03-26,Souris Saloon,Restaurants,Food and dining,14.5,debit,Chase CC
2018-03-28,Pabc Multi Space,Parking,Transportation,8,debit,Chase CC
2018-03-28,Lucias,Restaurants,Food and dining,28.3,debit,Chase CC
2018-03-29,Bar & Grill,Restaurants,Food and dining,31.9,debit,Chase CC
2018-03-29,Vikki Fells Point,Restaurants,Food and dining,7.1,debit,Chase CC
2018-03-29,CANTON CROSSING WINE SPT,Wine and spirits ,Food and dining,24,debit,Southwest CC
2018-03-30,7-Eleven,Convenience Store,Food and dining,1.6,debit,Chase CC
2018-03-30,HARRISTEETER #392,Groceries,Food and dining,15,debit,Southwest CC
2018-03-30,BED BATH &amp; BEYOND #196,Household goods,Household,46.4,debit,Southwest CC
2018-03-30,BARK! PIKESVILLE,Pet supply,Household,33.3,debit,Southwest CC
2018-03-30,Chipotle,Restaurants,Food and dining,7.6,debit,Chase CC
2018-03-31,ROYAL FARMS  063  Q79,Convenience Store,Food and dining,25.6,debit,Southwest CC
2018-03-31,RICKS BEER WINE AND SPIRI,Wine and spirits ,Food and dining,19.1,debit,Southwest CC
2018-04-01,National Golf Club,Golf,Entertainment,50,debit,Chase CC
2018-04-01,Giant,Groceries,Food and dining,2.5,debit,Chase CC
